name,latitude,longitude
Azcapotzalco,19.5145046,-99.20258357
Azcapotzalco,19.51450457,-99.20258347
Azcapotzalco,19.51450451,-99.20258327
Azcapotzalco,19.51450431,-99.2025826
Azcapotzalco,19.51450406,-99.20258179
Azcapotzalco,19.51450349,-99.20257992
Azcapotzalco,19.51429688,-99.20189662
Azcapotzalco,19.51429463,-99.20188916
Azcapotzalco,19.51429447,-99.20188865
Azcapotzalco,19.51429432,-99.20188814
Azcapotzalco,19.5142388,-99.20170452
Azcapotzalco,19.51401812,-99.20097474
Azcapotzalco,19.51396534,-99.20080017
Azcapotzalco,19.51381292,-99.20029615
Azcapotzalco,19.51377571,-99.20017309
Azcapotzalco,19.51377134,-99.20015865
Azcapotzalco,19.51375458,-99.20010325
Azcapotzalco,19.51371395,-99.19996888
Azcapotzalco,19.51364437,-99.19973879
Azcapotzalco,19.51353823,-99.1993878
Azcapotzalco,19.51347383,-99.19917485
Azcapotzalco,19.51344165,-99.19906843
Azcapotzalco,19.51343862,-99.1990584
Azcapotzalco,19.51343188,-99.19903611
Azcapotzalco,19.51336038,-99.19879968
Azcapotzalco,19.51331357,-99.19864488
Azcapotzalco,19.51279871,-99.19694232
Azcapotzalco,19.51273163,-99.19672049
Azcapotzalco,19.5127046,-99.19663109
Azcapotzalco,19.51270205,-99.19662266
Azcapotzalco,19.51191906,-99.19403369
Azcapotzalco,19.51191077,-99.19400628
Azcapotzalco,19.51188418,-99.19391835
Azcapotzalco,19.51131349,-99.19203149
Azcapotzalco,19.51127491,-99.1919039
Azcapotzalco,19.51127311,-99.19189795
Azcapotzalco,19.51057952,-99.19149842
Azcapotzalco,19.51041005,-99.19067454
Azcapotzalco,19.51035209,-99.1903928
Azcapotzalco,19.51020745,-99.18968974
Azcapotzalco,19.51020742,-99.1896896
Azcapotzalco,19.51005592,-99.18895318
Azcapotzalco,19.51005097,-99.18892917
Azcapotzalco,19.50997331,-99.18855162
Azcapotzalco,19.50994852,-99.18843114
Azcapotzalco,19.50956567,-99.18749673
Azcapotzalco,19.50955428,-99.18746892
Azcapotzalco,19.50955233,-99.18746416
Azcapotzalco,19.50954221,-99.18743947
Azcapotzalco,19.50951888,-99.18738252
Azcapotzalco,19.50951352,-99.18736944
Azcapotzalco,19.50936225,-99.18700026
Azcapotzalco,19.50935674,-99.18698677
Azcapotzalco,19.50935666,-99.18698659
Azcapotzalco,19.50935663,-99.18698653
Azcapotzalco,19.50915938,-99.18656166
Azcapotzalco,19.50897597,-99.18616665
Azcapotzalco,19.50894784,-99.18610606
Azcapotzalco,19.50890126,-99.18600575
Azcapotzalco,19.50861306,-99.18538502
Azcapotzalco,19.50853708,-99.18522137
Azcapotzalco,19.50850671,-99.18512891
Azcapotzalco,19.50833855,-99.18461689
Azcapotzalco,19.50821831,-99.18425077
Azcapotzalco,19.5080794,-99.18382785
Azcapotzalco,19.50796497,-99.18347945
Azcapotzalco,19.50783245,-99.18307594
Azcapotzalco,19.50770914,-99.18270049
Azcapotzalco,19.50756345,-99.18245109
Azcapotzalco,19.50756285,-99.18245006
Azcapotzalco,19.50756282,-99.18245002
Azcapotzalco,19.50756224,-99.18244904
Azcapotzalco,19.50756095,-99.18244685
Azcapotzalco,19.50749884,-99.18234052
Azcapotzalco,19.50747925,-99.18230697
Coyoacán,19.35654069,-99.13427051
Coyoacán,19.35653371,-99.13397046
Coyoacán,19.35655194,-99.13367423
Coyoacán,19.35658809,-99.13348817
Coyoacán,19.35673608,-99.13307431
Coyoacán,19.35680103,-99.13291486
Coyoacán,19.35691769,-99.13269108
Coyoacán,19.35703392,-99.13250225
Coyoacán,19.35711983,-99.13236926
Coyoacán,19.35717677,-99.13228743
